年収,健康保険,厚生年金,社保合計,雇用保険,基礎控除,給与所得控除,課税所得,所得税,所得税+復興,住民税,手取り,税合計,税率%,増分%
129.5,7.6428,12.078,19.7208,0.7776,48,55,6.0,0.3,0.29369999999999996,1.6,107.1016,22.398399999999995,17.3,14.7199999999998,
130.0,7.6428,12.078,19.7208,0.78,48,55,6.4,0.32,0.31328,1.6400000000000001,107.5392,22.460800000000006,17.3,12.480000000002178,
130.5,7.6428,12.078,19.7208,0.7824,48,55,6.9,0.345,0.342755,1.6900000000000002,107.9568,22.5432,17.3,16.47999999999854,
131.0,7.6428,12.078,19.7208,0.786,48,55,7.4,0.37,0.36223,1.7400000000000002,108.3832,22.616799999999998,17.3,14.7199999999998,
131.5,7.6428,12.078,19.7208,0.7884,48,55,7.9,0.395,0.391705,1.79,108.8008,22.699200000000005,17.3,16.480000000001382,
132.0,7.6428,12.078,19.7208,0.792,48,55,8.4,0.42,0.41118,1.84,109.2272,22.772800000000004,17.3,14.7199999999998,
132.5,7.6428,12.078,19.7208,0.7956,48,55,8.9,0.445,0.440655,1.8900000000000001,109.6436,22.856399999999994,17.3,16.71999999999798,
133.0,7.6428,12.078,19.7208,0.798,48,55,9.4,0.47,0.46013,1.9400000000000002,110.0712,22.928799999999995,17.2,14.48000000000036,
133.5,7.6428,12.078,19.7208,0.8016,48,55,9.9,0.495,0.489605,1.9900000000000002,110.4876,23.0124,17.2,16.720000000000823,
134.0,7.6428,12.078,19.7208,0.804,48,55,10.4,0.52,0.51908,2.04,110.9052,23.094800000000006,17.2,16.480000000001382,
134.5,7.6428,12.078,19.7208,0.8064,48,55,10.9,0.545,0.538555,2.09,111.3328,23.167199999999994,17.2,14.479999999997517,
135.0,7.6428,12.078,19.7208,0.81,48,55,11.4,0.57,0.5680299999999999,2.1399999999999997,111.7492,23.250799999999998,17.2,16.720000000000823,
135.5,7.6428,12.078,19.7208,0.8136,48,55,11.9,0.595,0.5875049999999999,2.19,112.1756,23.324399999999997,17.2,14.7199999999998,
136.0,7.6428,12.078,19.7208,0.816,48,55,12.4,0.62,0.61698,2.24,112.5932,23.406800000000004,17.2,16.480000000001382,
136.5,7.6428,12.078,19.7208,0.8184,48,55,12.9,0.645,0.636455,2.29,113.0208,23.479200000000006,17.2,14.48000000000036,
137.0,8.1984,12.956400000000002,21.1548,0.822,48,55,12.0,0.6,0.5973999999999999,2.2,112.2132,24.7868,18.1,261.51999999999873,
137.5,8.1984,12.956400000000002,21.1548,0.8244,48,55,12.5,0.625,0.616875,2.25,112.6408,24.8592,18.1,14.48000000000036,
138.0,8.1984,12.956400000000002,21.1548,0.828,48,55,13.0,0.65,0.64635,2.3,113.0572,24.942800000000005,18.1,16.720000000000823,
138.5,8.1984,12.956400000000002,21.1548,0.8316,48,55,13.5,0.675,0.665825,2.35,113.4836,25.016400000000004,18.1,14.7199999999998,
